Account,Product,Period,Price
Puppygman,Bowling Ball,2/21/2014,4.49
BearDigestAir,Slingshot,3/17/2014,11.32
Docunche,Snow Plow,4/2/2014,8.03
Headlines,Buzz Cola,2/20/2014,3.15
Lacegere,Flower Bouquet,2/16/2014,7.41
Acidyles,Buzz Cola,1/25/2014,5.76
Cimballe,Bowling Ball,3/7/2014,4.79
Audivinq,Squishee,1/22/2014,11.65
Donaldenes,Slingshot,1/13/2014,3.44
Bridgec,Pacifier,2/10/2014,7.84
AboveRosa,Squishee,3/13/2014,4.27
Latinament,Devil Donut,4/5/2014,9.74
Selverac,Buzz Cola,2/28/2014,9.14
NekoAngelic,Almond Milk,2/13/2014,10.65
Mubarnet,Bowling Ball,2/24/2014,5.21
BleakKid,Hot Dog,3/1/2014,10.92
BauerPure,Orange Punch,2/6/2014,9.15
Hjaltinre,Orange Punch,3/9/2014,5.98
ChiNotice,Saxophone Reed,3/16/2014,4.53
Rockeefl,Snow Plow,1/23/2014,7.31
ChatSingFarer,Left-handed Scissors,3/17/2014,8.72
PattyFreezing,Barley,4/26/2014,10.12
BingNumero,Almond Milk,2/22/2014,8.14
Lukeythmed,Hot Dog,3/26/2014,10.26
Chestium,Snow Plow,1/11/2014,10.07
Rainbower,Orange Punch,1/20/2014,11.90
HenryGhoul,Squishee,1/31/2014,9.12
Ificoact,Slingshot,4/30/2014,3.59
MurphyFan,Barley,4/13/2014,4.19
Fangossen,Orange Punch,1/12/2014,5.38
Chilledet,Flower Bouquet,2/11/2014,5.43
Adminte,Saxophone Reed,1/26/2014,11.28
Boxwoodet,Buzz Cola,1/7/2014,12.82
NipZero,Devil Donut,2/22/2014,7.04
Bradeluxie,Flower Bouquet,1/31/2014,12.95
Greygramid,Devil Donut,3/21/2014,6.00
Kalamicvi,Bowling Ball,4/24/2014,10.66
Choicance,Saxophone Reed,1/6/2014,12.30
BauerCheese,Snow Plow,2/27/2014,9.07
Bizarrestan,Almond Milk,2/18/2014,10.51
PurpleShoes,Snow Plow,1/25/2014,9.50
Stargalta,Buzz Cola,3/27/2014,6.71
Alcheri,Orange Punch,4/18/2014,6.17
Choicance,Left-handed Scissors,3/9/2014,4.82
GuyFarerCake,Buzz Cola,2/16/2014,8.39
Laquield,Left-handed Scissors,1/14/2014,6.70
Mdogglectus,Almond Milk,2/9/2014,6.63
BlueDev,Bowling Ball,1/15/2014,6.50
HulkDiagonal,Almond Milk,2/6/2014,8.56
Chiaritail,Barley,1/15/2014,5.19
PurpleShoes,Snow Plow,4/14/2014,10.02
HelloGrand,Orange Punch,3/20/2014,6.22
GossipNight,Pacifier,1/29/2014,4.05
Slayerptig,Slingshot,4/6/2014,6.39
DudeCakeGrabs,Saxophone Reed,1/21/2014,11.97
Ionidexcros,Flower Bouquet,2/7/2014,12.10
Glamouroy,Snow Plow,2/24/2014,8.78
DigestTight,Orange Punch,2/15/2014,12.40
Perustima,Flower Bouquet,4/28/2014,5.19
Purplellis,Pacifier,1/11/2014,5.63
Conspiracy,Barley,4/20/2014,12.04
LilCrown2free,Orange Punch,1/1/2014,7.63
DigestTight,Flower Bouquet,3/22/2014,8.53
Clownwean,Krusty-Os,3/5/2014,11.70
Eapperpl,Snow Plow,2/27/2014,5.59
Enlisher,Orange Punch,4/3/2014,12.35
Pathbaud,Hot Dog,2/12/2014,3.14
OneHelp,Krusty-Os,3/11/2014,6.58
Dualcrewa,Saxophone Reed,3/8/2014,10.16
KiddoAnhart,Saxophone Reed,4/13/2014,12.70
BoaFairy,Bowling Ball,1/14/2014,10.27
Cellisti,Snow Plow,2/24/2014,10.53
Hanglober,Buzz Cola,4/15/2014,12.83
Alphenymp,Pacifier,2/25/2014,11.13
Forsyncer,Hot Dog,4/10/2014,5.35
GoldTarget,Almond Milk,4/6/2014,10.40
Boostleysse,Slingshot,1/5/2014,4.82
Brandenes,Almond Milk,3/30/2014,12.28
Eapperpl,Devil Donut,1/12/2014,11.45
ForlifeLittle,Left-handed Scissors,1/27/2014,9.89
Chicatrisv,Pacifier,4/14/2014,8.74
Caperlexe,Buzz Cola,1/5/2014,8.21
Ladynallik,Hot Dog,2/15/2014,7.61
RonzUber,Bowling Ball,3/2/2014,11.33
Alessata,Bowling Ball,2/5/2014,8.20
Eapperpl,Saxophone Reed,3/28/2014,4.92
Greentgro,Almond Milk,1/23/2014,3.60
Lithornet,Saxophone Reed,4/27/2014,5.02
salesforce.com,Flower Bouquet,4/1/2014,10.51
SnoWord,Pacifier,3/2/2014,12.99
Eapperpl,Devil Donut,4/28/2014,4.14
Masonomou,Snow Plow,3/14/2014,9.16
Rushtumm,Bowling Ball,1/23/2014,3.91
Goldenbrae,Squishee,3/11/2014,12.57
Pistarynx,Almond Milk,2/16/2014,12.60
Bingovence,Hot Dog,2/27/2014,12.43
Latinament,Saxophone Reed,4/27/2014,3.48
DeckTruck,Devil Donut,4/15/2014,8.17
Fernotele,Barley,2/25/2014,8.46
Meadomark,Hot Dog,1/3/2014,4.80
Nexawayim,Buzz Cola,1/26/2014,4.14
Alessata,Barley,2/24/2014,8.73
Estarch,Slingshot,2/27/2014,3.15
Bradelextr,Saxophone Reed,1/5/2014,10.36
Caperlexe,Snow Plow,2/19/2014,8.13
Communique,Pacifier,1/11/2014,3.33
IteTabloid,Snow Plow,3/13/2014,11.37
ExpertWitch,Saxophone Reed,4/24/2014,11.17
Richisulse,Almond Milk,2/19/2014,7.07
InvaderRoll,Saxophone Reed,2/26/2014,6.61
Ladynallik,Almond Milk,2/25/2014,8.89
Firectored,Krusty-Os,3/10/2014,7.72
NewscastKenka,Bowling Ball,2/21/2014,10.19
GurlyJinPersonal,Saxophone Reed,1/7/2014,11.18
BauerCheese,Flower Bouquet,4/18/2014,7.89
PositiveSpider,Flower Bouquet,1/18/2014,5.88
Anospeak,Slingshot,1/11/2014,12.27
Rock4me,Krusty-Os,2/11/2014,12.93
Bloodiell,Saxophone Reed,4/30/2014,10.08
LatestPeach,Saxophone Reed,1/14/2014,9.13
Crawlerra,Left-handed Scissors,1/29/2014,5.31
Headlines,Krusty-Os,1/5/2014,11.74
Chilledet,Bowling Ball,2/13/2014,7.93
BuffyArsenal,Krusty-Os,2/2/2014,9.24
Mettertbe,Bowling Ball,3/30/2014,4.41
BiggExotic,Snow Plow,3/1/2014,10.23
ListHaro,Barley,4/10/2014,5.41
Goldenbrae,Bowling Ball,2/18/2014,9.93
RonzUber,Flower Bouquet,1/5/2014,7.44
Rocketonbi,Orange Punch,3/22/2014,11.24
Grouptu,Squishee,2/4/2014,12.95
AnnouncerNephew,Snow Plow,4/14/2014,5.02
Hopercomni,Pacifier,1/23/2014,12.50
Rainbower,Devil Donut,3/10/2014,9.44
Apenguinda,Orange Punch,3/28/2014,6.42
Precing,Slingshot,4/17/2014,9.25
RonzUber,Buzz Cola,1/9/2014,9.89
MurphyFan,Barley,4/22/2014,4.63
Anospeak,Saxophone Reed,2/6/2014,9.13
OneHelp,Saxophone Reed,3/16/2014,11.41
Reportsur,Left-handed Scissors,1/24/2014,12.90
Dailiesol,Buzz Cola,2/13/2014,3.72
BrainyZollo,Slingshot,4/10/2014,11.19
Downpomsto,Buzz Cola,1/28/2014,4.66
Anhartzimm,Bowling Ball,2/27/2014,7.87
LogFly,Left-handed Scissors,1/7/2014,9.61
Nicenterge,Barley,2/26/2014,12.25
Bloodiell,Orange Punch,1/17/2014,10.75
AttractiveSizzlin,Saxophone Reed,1/7/2014,8.78
CheeseSunset,Left-handed Scissors,2/21/2014,6.03
Estarch,Orange Punch,4/3/2014,4.38
Global Media,Left-handed Scissors,2/16/2014,5.78
Enlisher,Orange Punch,1/6/2014,7.05
Hartlinkel,Saxophone Reed,1/9/2014,7.28
KentrosBrood,Krusty-Os,1/10/2014,4.24
AnnouncerNephew,Squishee,1/5/2014,8.68
FixEver,Flower Bouquet,3/31/2014,8.38
Intellba,Krusty-Os,4/15/2014,10.11
Reportsur,Bowling Ball,3/15/2014,10.83
GuyPhia,Saxophone Reed,1/3/2014,9.36
Recipecide,Snow Plow,3/10/2014,3.37
Heaticel,Devil Donut,1/7/2014,10.05
Shaticubed,Flower Bouquet,2/23/2014,8.58
Facerust,Slingshot,2/23/2014,10.42
Comiclengua,Flower Bouquet,3/25/2014,6.68
Perustima,Slingshot,2/6/2014,12.36
Sheerlism,Snow Plow,4/17/2014,6.51
Genusting,Flower Bouquet,4/17/2014,4.30
FunkyFreexRing,Squishee,3/31/2014,11.68
Hippopton,Devil Donut,2/27/2014,10.34
Genusting,Devil Donut,1/28/2014,12.41
ActuallyGravity,Buzz Cola,1/19/2014,12.21
Nioneenf,Buzz Cola,1/5/2014,11.65
Mediantam,Flower Bouquet,3/20/2014,10.02
Emachere,Orange Punch,2/17/2014,7.99
AboveRosa,Buzz Cola,3/22/2014,10.94
Holyncepha,Pacifier,1/13/2014,10.18
NearlyAce,Krusty-Os,3/11/2014,3.04
Clericmat,Krusty-Os,1/29/2014,9.64
Lukeythmed,Left-handed Scissors,1/11/2014,6.49
Gladples,Pacifier,3/24/2014,10.10
ShowHead,Snow Plow,2/23/2014,9.91
Funnynanome,Squishee,3/24/2014,3.25
HulkBlonde,Saxophone Reed,1/30/2014,8.16
Grouptu,Saxophone Reed,4/2/2014,5.43
Holyncepha,Flower Bouquet,2/19/2014,3.88
DudeCakeGrabs,Snow Plow,1/1/2014,11.29
Diaryptor,Snow Plow,4/17/2014,11.74
Pathours,Squishee,2/1/2014,6.38
Crandivx,Buzz Cola,1/22/2014,11.79
Connenetti,Left-handed Scissors,2/5/2014,3.04
Dolockar,Slingshot,2/28/2014,9.06
Indileon,Bowling Ball,4/4/2014,4.61
CrazyNumBrace,Flower Bouquet,4/26/2014,6.53
FreexCasual,Left-handed Scissors,2/18/2014,6.91
Octalogi,Barley,2/24/2014,10.89
BeHeadline,Snow Plow,2/25/2014,11.21
ChiNotice,Hot Dog,3/25/2014,3.96
Ripplayer,Krusty-Os,2/15/2014,5.41
KentrosBrood,Flower Bouquet,1/30/2014,8.30
Kittindol,Left-handed Scissors,1/13/2014,5.36
ChiAra,Bowling Ball,1/8/2014,3.61
Bridgec,Slingshot,3/6/2014,5.19
Deepnesca,Devil Donut,1/8/2014,9.44
Remedios,Bowling Ball,1/12/2014,3.46
Feathmind,Hot Dog,3/31/2014,4.47
AttractiveSizzlin,Squishee,2/12/2014,8.36
Gerrics,Saxophone Reed,3/20/2014,11.05
BlueDev,Slingshot,1/15/2014,11.16
Lineadyne,Left-handed Scissors,3/23/2014,8.76
PartyGotInspiring,Left-handed Scissors,1/9/2014,8.68
Bleck,Bowling Ball,1/3/2014,5.85
Funkimagia,Krusty-Os,3/25/2014,3.46
Animorror,Slingshot,2/4/2014,10.61
Emidsient,Bowling Ball,1/22/2014,12.57
PodFang,Orange Punch,4/13/2014,8.16
PopularTwinkle,Left-handed Scissors,1/21/2014,11.42
Hytermat,Left-handed Scissors,4/20/2014,3.61
Bloodiell,Buzz Cola,1/9/2014,3.59
Formerva,Saxophone Reed,4/7/2014,7.39
Hansgen,Krusty-Os,4/7/2014,11.66
Caperlexe,Left-handed Scissors,4/22/2014,5.84
Poppugg,Pacifier,3/13/2014,10.79
Sheerlism,Left-handed Scissors,4/28/2014,3.73
Networker,Pacifier,1/26/2014,9.43
Bullowerre,Left-handed Scissors,1/18/2014,6.92
Downpomsto,Krusty-Os,1/30/2014,5.78
MyheroCurious,Krusty-Os,4/17/2014,7.74
ActuallyGravity,Barley,3/20/2014,9.60
Nationtr,Krusty-Os,4/1/2014,4.95
Countryboat,Hot Dog,3/31/2014,5.69
PositiveSpider,Barley,2/17/2014,4.52
Lodingee,Almond Milk,1/21/2014,3.22
Bevectican,Hot Dog,4/4/2014,7.73
Choicance,Saxophone Reed,1/25/2014,3.79
Eurinewh,Pacifier,1/28/2014,9.46
Feathmind,Buzz Cola,3/15/2014,3.13
Hjaltinre,Almond Milk,4/16/2014,7.27
Clownerli,Squishee,4/13/2014,3.14
Boostleysse,Almond Milk,3/8/2014,5.63
NearlyAce,Orange Punch,2/19/2014,12.36
Helmedare,Buzz Cola,2/16/2014,9.70
CleverSimple,Hot Dog,1/12/2014,11.62
Fallsbergen,Almond Milk,4/23/2014,6.72
Divisional,Flower Bouquet,4/17/2014,6.04
Seepanethor,Hot Dog,4/2/2014,9.60
Firstrous,Flower Bouquet,2/19/2014,11.09
Audivinq,Snow Plow,4/14/2014,7.72
Pyranka,Bowling Ball,1/6/2014,7.05
CrazyNumBrace,Pacifier,2/19/2014,6.73
Posamne,Slingshot,2/8/2014,5.23
LogFly,Pacifier,3/31/2014,4.42
ChiNotice,Left-handed Scissors,1/4/2014,6.33
ListHaro,Left-handed Scissors,4/4/2014,5.60
IteTabloid,Left-handed Scissors,4/12/2014,3.78
Guantownta,Squishee,3/20/2014,8.62
Guantorona,Saxophone Reed,3/5/2014,3.17
Firectored,Hot Dog,3/6/2014,12.66
CaptainBill,Hot Dog,3/6/2014,11.28
Lyndatage,Hot Dog,4/18/2014,7.38
Cellisti,Slingshot,3/11/2014,12.01
Hippopton,Hot Dog,3/12/2014,7.50
Chiaritail,Saxophone Reed,1/29/2014,7.69
Rushtumm,Bowling Ball,2/8/2014,4.56
PrimeEye,Saxophone Reed,3/31/2014,10.95
LilCrown2free,Bowling Ball,3/23/2014,10.69
RatWitchHott,Pacifier,3/28/2014,6.99
Besteres,Barley,1/16/2014,11.01
Inventilit,Flower Bouquet,4/27/2014,10.80
Precappl,Left-handed Scissors,4/14/2014,11.55
NearlyAce,Saxophone Reed,2/3/2014,10.96
ForlifeLittle,Krusty-Os,2/21/2014,4.32
Lutechax,Pacifier,4/12/2014,4.94
AnnouncerNephew,Barley,3/17/2014,10.45
Authorksto,Snow Plow,1/4/2014,4.86
Cardroug,Flower Bouquet,2/28/2014,10.93
Prelaym,Bowling Ball,1/4/2014,11.18
ActuallyGravity,Barley,3/18/2014,12.15
CaptainBill,Buzz Cola,1/5/2014,9.75
GossipNight,Almond Milk,4/23/2014,9.69
Lentelty,Buzz Cola,2/27/2014,4.43
Lineadyne,Slingshot,4/11/2014,7.54
AnnouncerNephew,Squishee,2/28/2014,6.51
Lukeythmed,Hot Dog,1/12/2014,10.97
BoaFairy,Orange Punch,4/8/2014,8.21
Nediumpm,Bowling Ball,2/28/2014,11.07
Crawlergy,Hot Dog,3/12/2014,9.59
Pathours,Hot Dog,2/19/2014,11.33
Maxieldse,Slingshot,2/25/2014,10.40
PrimeEye,Left-handed Scissors,1/14/2014,11.65
AttractiveSizzlin,Flower Bouquet,4/20/2014,10.54
FoxLipsx,Krusty-Os,3/24/2014,10.40
Dualcrewa,Flower Bouquet,4/24/2014,12.34
Doblanepm,Squishee,1/20/2014,9.68
AshKlugFluent,Krusty-Os,4/22/2014,9.60
Colictor,Bowling Ball,1/25/2014,11.95
ArsenalTalk,Left-handed Scissors,1/26/2014,6.92
Buddyella,Flower Bouquet,3/26/2014,11.93
Greentgro,Buzz Cola,1/28/2014,5.74
Lodingee,Squishee,1/10/2014,8.74
MatterSimply,Hot Dog,4/20/2014,6.13
HeraldEye,Barley,4/15/2014,5.26
Diaryptor,Devil Donut,3/3/2014,8.79
CaptainBill,Buzz Cola,4/2/2014,7.27
NearlyAce,Orange Punch,1/12/2014,3.19
Blikitbec,Orange Punch,2/4/2014,8.25
Chilledet,Orange Punch,2/5/2014,11.67
BiggExotic,Snow Plow,3/2/2014,3.15
Bedsoft,Devil Donut,4/18/2014,4.18
CuriousStorm,Barley,2/19/2014,11.36
Ificoact,Squishee,4/27/2014,12.15
Holyncepha,Hot Dog,4/3/2014,5.37
FunkyFreexRing,Buzz Cola,1/17/2014,4.93
Palecto,Squishee,1/19/2014,9.06
NotBase,Bowling Ball,4/29/2014,9.35
NozyGiga,Snow Plow,4/8/2014,7.69
Firectored,Snow Plow,1/8/2014,11.96
BradleyNarrative,Krusty-Os,1/27/2014,3.72
Portmare,Saxophone Reed,4/23/2014,11.55
Nordimi,Buzz Cola,4/22/2014,9.80
Chestium,Barley,3/31/2014,12.08
Nepheworma,Krusty-Os,1/6/2014,5.70
LaxrWord,Slingshot,2/25/2014,12.10
BristleSell,Snow Plow,3/16/2014,5.72
HulkBlonde,Slingshot,3/31/2014,8.98
Emachere,Saxophone Reed,1/25/2014,4.61
Poshytess,Pacifier,1/12/2014,7.24
ArsenalTalk,Saxophone Reed,3/4/2014,7.37
PartyBright,Hot Dog,3/18/2014,6.40
Clownwean,Saxophone Reed,4/11/2014,10.37
InloveDiary,Saxophone Reed,1/24/2014,7.19
Lineadyne,Saxophone Reed,4/28/2014,8.39
Precing,Saxophone Reed,2/11/2014,3.24
Sheerlism,Flower Bouquet,4/28/2014,12.23
Pathbaud,Devil Donut,4/14/2014,4.66
GreyPlanet,Squishee,4/14/2014,10.68
Guantorona,Devil Donut,2/22/2014,3.56
Intellba,Krusty-Os,4/15/2014,11.54
Chilledet,Flower Bouquet,2/8/2014,8.54
MyheroCurious,Left-handed Scissors,3/15/2014,7.97
ActuallyGravity,Barley,1/19/2014,7.50
Pedabrsel,Pacifier,3/13/2014,7.60
GuyFarerCake,Buzz Cola,2/24/2014,10.69
Hansgen,Flower Bouquet,3/15/2014,6.56
Cuficel,Orange Punch,2/16/2014,4.90
InloveDiary,Buzz Cola,3/26/2014,4.54
KaptainHerald,Barley,3/27/2014,3.98
InvaderRoll,Left-handed Scissors,1/19/2014,6.19
Capenikk,Snow Plow,2/11/2014,3.61
Holyncepha,Slingshot,3/27/2014,8.09
BearDigestAir,Barley,4/22/2014,11.79
Alphenymp,Bowling Ball,2/4/2014,4.53
Cochinger,Krusty-Os,3/28/2014,10.25
NearlyAce,Devil Donut,4/6/2014,12.95
DigestTight,Bowling Ball,2/21/2014,5.05
Outsourif,Slingshot,2/19/2014,6.64
Ripplayer,Squishee,4/29/2014,9.01
NearlyAce,Snow Plow,2/1/2014,7.72
Mithelle,Barley,4/14/2014,5.30
Alcheri,Pacifier,3/17/2014,6.40
Pinchrine,Flower Bouquet,3/26/2014,10.22
Cuficel,Bowling Ball,1/15/2014,5.21
BuffyArsenal,Bowling Ball,1/15/2014,7.41
Rock4me,Snow Plow,4/27/2014,12.28
Karield,Squishee,2/20/2014,3.18
Pistarynx,Barley,4/19/2014,6.59
Remedios,Squishee,2/7/2014,10.61
Anhartzimm,Flower Bouquet,3/7/2014,3.17
Audivinq,Snow Plow,4/23/2014,7.77
PoetTear,Saxophone Reed,1/5/2014,6.13
Lyfernella,Squishee,1/2/2014,12.10
BleakKid,Barley,3/16/2014,6.27
Boardam,Krusty-Os,3/3/2014,9.82
Cardisted,Buzz Cola,1/9/2014,4.08
Mettertbe,Barley,1/15/2014,7.24
Equancoat,Saxophone Reed,2/27/2014,6.61
Bingovence,Snow Plow,1/1/2014,9.34
DeckTruck,Devil Donut,4/26/2014,5.67
Saiyanetho,Squishee,2/14/2014,4.79
Nozyforbox,Almond Milk,1/21/2014,4.73
Estarch,Saxophone Reed,1/19/2014,11.03
Feistybera,Hot Dog,2/26/2014,7.52
Lacegere,Krusty-Os,3/30/2014,12.88
HeheBraceFizz,Hot Dog,4/12/2014,8.17
Candwire,Squishee,4/20/2014,11.08
DoggIntincr,Buzz Cola,4/15/2014,11.58
Capenikk,Barley,3/18/2014,10.91
DudeCozy,Squishee,4/9/2014,3.37
Gerystat,Devil Donut,1/10/2014,9.89
NotePuff,Snow Plow,4/25/2014,10.33
Cochinger,Krusty-Os,1/17/2014,3.63
ForlifeDream,Squishee,4/26/2014,8.69
Enerpeop,Devil Donut,3/26/2014,7.09
Goldenbrae,Left-handed Scissors,2/11/2014,3.86
Puppygman,Bowling Ball,1/1/2014,4.50
Hockeywork,Almond Milk,2/4/2014,6.18
FootballNot,Saxophone Reed,1/30/2014,4.88
Choicance,Flower Bouquet,2/13/2014,7.73
GrabsWillows,Hot Dog,2/27/2014,4.88
CleverSimple,Slingshot,1/29/2014,9.19
BleakKid,Squishee,3/7/2014,5.25
Actuallywo,Bowling Ball,2/4/2014,9.28
Goldenbrae,Hot Dog,1/28/2014,12.81
Japanos,Devil Donut,3/8/2014,9.50
DudeCakeGrabs,Snow Plow,2/3/2014,3.58
Firstrous,Pacifier,4/14/2014,7.19
Capenikk,Flower Bouquet,1/3/2014,6.68
Indileon,Left-handed Scissors,3/19/2014,5.45
Lineadyne,Squishee,1/9/2014,12.34
BulletinStar,Hot Dog,1/14/2014,12.12
Chestium,Squishee,4/7/2014,10.80
Namedianon,Buzz Cola,1/25/2014,4.26
Pyranka,Snow Plow,1/2/2014,10.30
MyheroCurious,Buzz Cola,3/24/2014,11.32
CutieSpecials,Hot Dog,2/10/2014,9.93
Bryankpi,Bowling Ball,1/17/2014,7.58
GossipNight,Pacifier,4/29/2014,4.50
Mediantam,Buzz Cola,2/2/2014,3.87
Ripplayer,Krusty-Os,2/27/2014,11.33
Isergoba,Almond Milk,3/4/2014,8.21
Networker,Krusty-Os,4/18/2014,6.44
IsYour,Krusty-Os,1/18/2014,5.05
Cordlets,Flower Bouquet,2/22/2014,9.79
Oneareratec,Squishee,2/22/2014,7.91
HeavenNarrative,Squishee,3/27/2014,12.86
Goldencero,Pacifier,4/10/2014,12.73
Fangossen,Barley,1/28/2014,9.86
BeHeadline,Squishee,2/20/2014,9.14
Genusting,Left-handed Scissors,2/24/2014,9.71
FantasticMessages,Squishee,2/20/2014,12.71
Intellba,Devil Donut,1/24/2014,8.43
CuriousStorm,Flower Bouquet,4/2/2014,8.09
Octalogi,Squishee,2/7/2014,11.70
LaxrWord,Slingshot,1/5/2014,10.53
Hockeywork,Squishee,2/28/2014,9.50
GoldCrayon,Hot Dog,2/21/2014,5.44
MyheroCurious,Hot Dog,1/4/2014,8.00
FighterDiary,Saxophone Reed,3/26/2014,8.60
Perustima,Krusty-Os,1/14/2014,5.35
NoticeSports,Hot Dog,4/6/2014,9.80
Pinchrine,Flower Bouquet,2/2/2014,7.64
GoldCrayon,Squishee,4/6/2014,4.68
Screenary,Squishee,3/23/2014,10.14
Nozyforbox,Devil Donut,2/8/2014,10.48
Lukeythmed,Bowling Ball,2/2/2014,12.53
Hectakent,Slingshot,3/18/2014,4.73
Emachere,Orange Punch,4/27/2014,3.04
Carestl,Almond Milk,3/7/2014,6.70
Clownerli,Saxophone Reed,1/14/2014,12.72
Lentelty,Slingshot,4/15/2014,6.49
Advenopy,Flower Bouquet,2/26/2014,6.64
Adminte,Slingshot,3/5/2014,11.42
Gladples,Hot Dog,1/3/2014,9.44
BauerPure,Buzz Cola,1/9/2014,4.68
Bleck,Buzz Cola,2/22/2014,12.82
ShowHead,Krusty-Os,2/1/2014,8.81
Greentgro,Snow Plow,4/2/2014,8.88
Boxwoodet,Left-handed Scissors,2/7/2014,11.75
Reportsur,Squishee,3/24/2014,12.06
Divisional,Bowling Ball,1/24/2014,3.76
FantasyXoxox,Almond Milk,1/13/2014,8.87
Clownerli,Bowling Ball,3/18/2014,9.61
Acme,Hot Dog,4/24/2014,3.83
PiercePeach,Snow Plow,4/28/2014,9.73
CatHorray,Left-handed Scissors,3/30/2014,5.05
SnoopyTimes,Left-handed Scissors,4/22/2014,3.16
Daranter,Almond Milk,2/11/2014,11.09
Lodingee,Hot Dog,2/11/2014,6.74
Phiatechma,Left-handed Scissors,4/6/2014,3.51
Careampa,Saxophone Reed,4/15/2014,3.50
NekoAngelic,Pacifier,1/19/2014,11.77
Crandivx,Bowling Ball,2/17/2014,7.50
Interca,Krusty-Os,2/10/2014,3.82
Karield,Left-handed Scissors,3/28/2014,7.09
Citythr,Saxophone Reed,4/9/2014,7.44
Mmershpo,Krusty-Os,4/18/2014,11.94
Perfeho,Barley,1/4/2014,4.46
Optionic,Pacifier,3/26/2014,6.71
Adsmanda,Devil Donut,3/29/2014,10.68
FreexCasual,Barley,3/26/2014,5.39
Connenetti,Krusty-Os,4/21/2014,3.60
Authorksto,Hot Dog,4/12/2014,11.37
Crawlergy,Krusty-Os,1/14/2014,8.01
BiggExotic,Hot Dog,4/25/2014,3.77
FoxLipsx,Flower Bouquet,4/26/2014,9.86
IanInspiring,Pacifier,3/8/2014,9.88
Kampenta,Krusty-Os,1/21/2014,9.31
Alcheri,Barley,1/4/2014,8.30
Lentelty,Slingshot,1/19/2014,12.89
FootballNot,Slingshot,3/1/2014,5.79
Notusetti,Pacifier,2/28/2014,10.92
Clownwean,Barley,1/28/2014,10.36
IsYour,Hot Dog,1/7/2014,7.32
Grinfous,Left-handed Scissors,2/22/2014,9.26
Nexawayim,Orange Punch,1/27/2014,7.83
Karield,Hot Dog,3/13/2014,6.20
HeraldEye,Hot Dog,3/28/2014,11.26
Interca,Pacifier,1/18/2014,6.44
Staressa,Devil Donut,3/27/2014,11.12
Remedios,Slingshot,2/10/2014,6.82
BlondieYoga,Slingshot,1/6/2014,3.32
JunkyZest,Saxophone Reed,1/28/2014,10.96
Lineadyne,Pacifier,2/4/2014,9.26
2cuterreenp,Snow Plow,1/22/2014,7.25
JournalKnot,Saxophone Reed,2/1/2014,8.03
Footballee,Saxophone Reed,1/5/2014,9.51
DoubleTen,Saxophone Reed,3/4/2014,3.46
Firectored,Almond Milk,4/18/2014,7.20
Bingovence,Saxophone Reed,4/24/2014,9.20
LuvBleak,Almond Milk,4/2/2014,12.84
CutieSpecials,Squishee,2/2/2014,4.83
Namedstore,Left-handed Scissors,4/10/2014,5.46
DigestTight,Barley,1/7/2014,12.02
BauerCheese,Flower Bouquet,1/29/2014,12.69
Choicance,Pacifier,2/10/2014,9.15
Docunche,Buzz Cola,4/23/2014,7.14
Rushtumm,Pacifier,4/1/2014,10.16
Poshytess,Orange Punch,2/1/2014,7.57
GreyPlanet,Buzz Cola,1/8/2014,7.53
CatMonkey,Snow Plow,2/9/2014,7.95
DudeCozy,Left-handed Scissors,4/7/2014,10.60
Guantownta,Buzz Cola,4/20/2014,4.64
HelloGrand,Left-handed Scissors,3/30/2014,9.61
RatWitchHott,Barley,3/29/2014,7.14
Candwire,Snow Plow,4/10/2014,5.67
Ollynden,Krusty-Os,3/22/2014,12.75
Famoustebl,Barley,3/22/2014,3.50
Poppugg,Barley,2/27/2014,9.54
DudeCakeGrabs,Pacifier,4/13/2014,7.17
PurpleShoes,Slingshot,4/17/2014,5.13
Mesorock,Bowling Ball,1/20/2014,7.09
Lukeythmed,Squishee,3/30/2014,7.84
Footballee,Slingshot,1/10/2014,9.66
IteTabloid,Flower Bouquet,1/29/2014,10.76
Avanscran,Snow Plow,1/26/2014,12.41
ArsenalKino,Snow Plow,2/21/2014,5.47
SnoWord,Krusty-Os,2/14/2014,12.26
NewscastKenka,Slingshot,3/1/2014,8.61
Horrayerex,Almond Milk,3/1/2014,12.07
BlogVod,Pacifier,2/15/2014,5.69
GloryPsychBuddy,Flower Bouquet,4/18/2014,7.76
RazuKenka,Squishee,1/14/2014,5.26
Enerpeop,Barley,4/20/2014,11.42
AboutWise,Devil Donut,4/10/2014,5.28
Pinchoint,Pacifier,3/19/2014,12.94
Grundyneti,Buzz Cola,3/16/2014,8.46
GurlyJinPersonal,Krusty-Os,1/19/2014,8.09
Daysseedia,Squishee,4/26/2014,11.09
JunkyZest,Hot Dog,1/24/2014,9.73
Divisional,Squishee,4/19/2014,8.70
InvaderRoll,Devil Donut,4/17/2014,12.19
Faxionan,Orange Punch,3/29/2014,12.60
Eurinewh,Krusty-Os,4/2/2014,11.60
Sigands,Squishee,3/18/2014,6.63
CrazyNumBrace,Saxophone Reed,4/15/2014,9.36
BabyPro,Pacifier,3/10/2014,9.93
Intincrospr,Buzz Cola,3/29/2014,3.20
Lodingee,Buzz Cola,4/2/2014,12.16
Interca,Buzz Cola,2/4/2014,10.24
Mediaux,Saxophone Reed,3/10/2014,4.25
